"Index";"Note";"Frequency";"Sample File";"Speed"
0;"A1";55;1;0.5
1;"A#1";58.27;1;0.529732
2;"B1";61.74;1;0.561231
3;"C2";65.41;1;0.594604
4;"C#2";69.3;1;0.629961
5;"D2";73.42;1;0.66742
6;"D#2";77.78;1;0.707107
7;"E2";82.41;1;0.749154
8;"F2";87.31;1;0.793701
9;"F#2";92.5;1;0.840896
10;"G2";98;1;0.890899
11;"G#2";103.83;1;0.943874
12;"A2";110;1;1
13;"A#2";116.54;1;1.059463
14;"B2";123.47;1;1.122462
15;"C3";130.81;1;1.189207
16;"C#3";138.59;1;1.259921
17;"D3";146.83;1;1.33484
18;"D#3";155.56;1;1.414214
19;"E3";164.81;1;1.498307
20;"F3";174.61;1;1.587401
21;"F#3";185;1;1.681793
22;"G3";196;1;1.781797
23;"G#3";207.65;1;1.887749
24;"A3";220;2;0.5
25;"A#3";233.08;2;0.529732
26;"B3";246.94;2;0.561231
27;"C4";261.63;2;0.594604
28;"C#4";277.18;2;0.629961
29;"D4";293.66;2;0.66742
30;"D#4";311.13;2;0.707107
31;"E4";329.63;2;0.749154
32;"F4";349.23;2;0.793701
33;"F#4";369.99;2;0.840896
34;"G4";392;2;0.890899
35;"G#4";415.3;2;0.943874
36;"A4";440;2;1
37;"A#4";466.16;2;1.059463
38;"B4";493.88;2;1.122462
39;"C5";523.25;2;1.189207
40;"C#5";554.37;2;1.259921
41;"D5";587.33;2;1.33484
42;"D#5";622.25;2;1.414214
43;"E5";659.26;2;1.498307
44;"F5";698.46;2;1.587401
45;"F#5";739.99;2;1.681793
46;"G5";783.99;2;1.781797
47;"G#5";830.61;2;1.887749
48;"A5";880;3;0.5
49;"A#5";932.33;3;0.529732
50;"B5";987.77;3;0.561231
51;"C6";1046.5;3;0.594604
52;"C#6";1108.73;3;0.629961
53;"D6";1174.66;3;0.66742
54;"D#6";1244.51;3;0.707107
55;"E6";1318.51;3;0.749154
56;"F6";1396.91;3;0.793701
57;"F#6";1479.98;3;0.840896
58;"G6";1567.98;3;0.890899
59;"G#6";1661.22;3;0.943874
60;"A6";1760;3;1
61;"A#6";1864.66;3;1.059463
62;"B6";1975.53;3;1.122462
63;"C7";2093;3;1.189207
64;"C#7";2217.46;3;1.259921
65;"D7";2349.32;3;1.33484
66;"D#7";2489.02;3;1.414214
67;"E7";2637.02;3;1.498307
68;"F7";2793.83;3;1.587401
69;"F#7";2959.96;3;1.681793
70;"G7";3135.96;3;1.781797
71;"G#7";3322.44;3;1.887749
72;"A7";3520;4;0.5
73;"A#7";3729.31;4;0.529732
74;"B7";3951.07;4;0.561231
75;"C8";4186.01;4;0.594604
76;"C#8";4434.92;4;0.629961
77;"D8";4698.64;4;0.66742
78;"D#8";4978.03;4;0.707107
79;"E8";5274.04;4;0.749154
80;"F8";5587.65;4;0.793701
81;"F#8";5919.91;4;0.840896
82;"G8";6271.93;4;0.890899
83;"G#8";6644.88;4;0.943874
84;"A8";7040;4;1
85;"A#8";7458.62;4;1.059463
86;"B8";7902.13;4;1.122462
87;"C9";8372.02;4;1.189207
88;"C#9";8869.84;4;1.259921
89;"D9";9397.27;4;1.33484
90;"D#9";9956.06;4;1.414214
91;"E9";10548.08;4;1.498307
92;"F9";11175.3;4;1.587401
93;"F#9";11839.82;4;1.681793
94;"G9";12543.85;4;1.781797
95;"G#9";13289.75;4;1.887749
96;"A9";14080;4;2
